practice_number,practice_name,town,suburb,physical_address,telephone,province,latitude,longitude,location_precision,source_name,source_updated_at,source_page,validation_status,is_active
716316,Clicks Pharmacy Seaside Village,BIG BAY,BIG BAY,"SHOP 9, SEASIDE VILLAGE, BIG BAY",086 0254257,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
364908,Medirite Pharmacy - Bishop Lavis,BISHOP LAVIS,BISHOP LAVIS,"SHOPRITE BISHOP LAVIS CNR LAVIS, DRIVE & JOHN RAMSEY AVENUE, BISHOP LAVIS",021 9342363,WESTERN CAPE,-33.945659,18.580647,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
1161571,Pharmacy At Spar - Mathmay,BLANCO,BLANCO,"21 MONTAQUE STREET, PLOT 3480",044 8700071,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
88617,Hydromed Bloemfontein Pharmacy,BLOEMFONTEIN,BLOEMFONTEIN,"CNR KELLNER & PARFITT AVENUE, WESTDENE",051 4046498,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6081142,Sonneblom Pharmacy,BLOEMHOF,BLOEMHOF,"CNR SONNEBLOM STREET & HEIDE, ROAD",021 9199779,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6041655,Medicare Blomtuin,BLOMTUIN EST,BLOMTUIN EST,"BLOMTUIN CENTRE, 12 SUIKERBOSSIE STREET, BLOMTUIN EST",021 9191663,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
334030,Clicks Pharmacy,BLOUBERG,BLOUBERG,"SHOP 65, EDEN ON THE BAY SHOPPING CENTRE, BIG BAY BEACH ESTATE",086 0103030,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
225142,Medi-Rite Pharmacy Big Bay,BLOUBERG SANDS,BLOUBERG SANDS,"CHECKERS CNR OTTO DU PLESSIS, COMMORANT STREET",021 9804684,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
478814,Clicks Pharmacy Seaside Village,BLOUBERGSTRAND,BLOUBERGSTRAND,"SEASIDE VILLAGE CENTRE CNR OTTO, DU PLESSIS DRIVE & CORMORANT, AVENUE",021 5545037,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
708550,Dis-Chem Table Bay Mall Pharmacy,BLOUBERGSTRAND,BLOUBERGSTRAND,"SHOP G100 TABLE BAY MALL, CNR R27 & BERKSHIRE BOULEVARD, BLOUBERGSTRAND",021 6120172,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6082629,Westport Pharmacy,BLOUBERGSTRAND,BLOUBERGSTRAND,"SHOP 19 WESTPORT SQUARE, SANDOWN ROAD, BLOUBERGSTRAND",021 5540052,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
700932,Clicks Pharmacy -The Bluff Light,BLUFF,BLUFF,54 LIGHTHOUSE ROAD,086 0254257,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
6078257,Bonnievale Pharmacy,BONNIEVALE,BONNIEVALE,"93B MAIN ROAD, BONNIEVALE",023 6162765,WESTERN CAPE,-33.937,20.1012,town,Western Cape Pharmacy Network List,2024-07-15,2,verified,true
6065376,Bonteheuwel Pharmacy,BONTHEUWEL,BONTHEUWEL,"488 BONTEHEUWEL AVENUE, BONTHEUWEL",021 6947796,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,2,needs_location_review,true
814067,Clicks Pharmacy Summerfields-Bos,BOSKRUIN,BOSKRUIN,"SHOP 28-SUMMERFIELDS SHOPPING CE, CNR KELLY AND KOWIE RAODS",021 4601555,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
356743,Medirite Pharmacy - De Grendel,BOTHASIG,BOTHASIG,"CHECKERS DE GRENDEL CNR, TYGERBERG VALLEY ROAD & BURGUNDY, BOTHASIG",021 5597403,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
236225,Bothasig Pharmacy,BOTHASIG,BOTHASIG,"SHOP 28-32 BOTHASIG MALL, VRYBURGER AVENUE, BOTHASIG",021 5581933,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
6066208,Durbell Capegate Pharmacy,BRACKENFELL,BRACKENFELL,"LOWER LEVEL SHOP L 49 CAPE GATE, CENTRE CNR DE BRON &, BRACKENFELL BOULEVARD",021 9828077,WESTERN CAPE,-33.880447,18.696282,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
921505,Clicks Pharmacy Brackenfell Cent,BRACKENFELL,BRACKENFELL,"SHOP 28 AND 29, BRACKENFELL, CNR OF OLD PAARL RO, AND JEANNETTE STREET",021 4601555,WESTERN CAPE,-33.877435,18.697624,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
366706,Cape Gate Hospital Pharmacy,BRACKENFELL,BRACKENFELL,"CAPE GATE MEDI-CLINIC, CNR OKAVANGO & TANNER STREET",021 9835806,WESTERN CAPE,-33.878612,18.7004,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
213888,Medirite Pharmacy - Benoni,BRACKENFELL,BRACKENFELL,"CHECKERS HYPER, CNR OOS PRINCES STREET",021 9804684,WESTERN CAPE,-33.879082,18.698682,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
230391,Brackenfell Hypermarket Pharmacy,BRACKENFELL,BRACKENFELL,"PICK'N PAY BRACKENFELL, HYPERMARKET CNR OLD PAARL ROAD &, JEANETTE STREET",021 9813276,WESTERN CAPE,-33.8812,18.700282,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6082289,Medirite Pharmacy - Brackenfell,BRACKENFELL,BRACKENFELL,"FAIRBRIDGE MALL CNR OLD PAARL, ROAD & BRACKENFELL BOULEVARD, BRACKENFELL",021 9822650,WESTERN CAPE,-33.878941,18.700141,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6031544,Brackenfell Pharmacy,BRACKENFELL,BRACKENFELL,"ESSENTIAL HEALTH BUILDING CNR, OLD PAARL ROAD & JEANETTE STREET, BRACKENFELL",021 9811824,WESTERN CAPE,-33.877718,18.6976,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
469734,Pharmacy At Spar - Cape Gate,BRACKENFELL,BRACKENFELL,"SHOP 23 CAPE GATE LIFESTYLE, CENTRE OKAVANGO ROAD, BRACKENFELL",021 1003188,WESTERN CAPE,-33.878282,18.698847,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
520624,Clicks Pharmacy Glengarry,BRACKENFELL,BRACKENFELL,"SHOP 16-24 GLENGARRY VILLAGE, RETAIL CENTRE DE BRON ROAD, BRACKENFELL",021 9812169,WESTERN CAPE,-33.876706,18.699976,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
621331,Dis-Chem Cape Gate Pharmacy,BRACKENFELL,BRACKENFELL,"SHOP L49 CAPE GATE SHOPPING, CENTRE CNR OKAVANGO & DE BRON, BRACKENFELL",021 9831000,WESTERN CAPE,-33.877482,18.700282,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
348775,Clicks Pharmacy - Fairbridge Mal,BRACKENFELL,BRACKENFELL,"SHOP 42 A BRACKENFELL MALL, OLD PAARL ROAD, BRACKENFELL",021 9811144,WESTERN CAPE,-33.881035,18.6976,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
182362,Medirite Pharmacy - Cape Gate,BRACKENFELL,BRACKENFELL,"CHECKERS CAPE GATE CENTRE, CNR DE BRON & OKAVANGO ROAD, BRACKENFELL",021 9818509,WESTERN CAPE,-33.876282,18.701106,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
187054,Clicks Pharmacy - Cape Gate,BRACKENFELL,BRACKENFELL,"SHOP U51 CAPEGATE SHOPPING, CENTRE CNR OKAVANGO & DE BRON, BRACKENFELL",021 9814704,WESTERN CAPE,-33.879035,18.698376,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
673471,Clicks Pharmacy Bredasdorp,BREDASDORP,BREDASDORP,"SHOP 5 THE PAVILLION SHOPPING, CENTRE CNR LONG & SEALY STREET, BREDASDORP",028 4251304,WESTERN CAPE,-34.533282,20.0398,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
375705,Medirite Pharmacy - Bredasdorp,BREDASDORP,BREDASDORP,"CHECKERS BREDASDORP, CNR SEALY & LONG STREET, BREDASDORP",028 4252861,WESTERN CAPE,-34.534859,20.040153,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
312630,Medirite Pharmacy - Brits,BRITS,BRITS,"CHECKERS BRITS, PLATINUM MALL STAND 91, CORNER HENRIK VERWOERD ROAD CR",021 9804562,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
315060,Clicks Pharmacy - Platinum Mall,BRITS,BRITS,"SHOP 21 PLATINUM MALL, HENDRIK VERWOERD ROAD KROKODIL",086 0103030,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
878480,Clicks Brixton Mall Pharmacy,BRIXTON,BRIXTON,"SHOP 12A, BRIXTON PROTEA MALL, CNR HIGH AND FORTUNA STREET",021 4601555,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
513555,Clicks Pharmacy Caledon,CALEDON,CALEDON,"SHOP 8 A & B VICTORIA MALL, CNR N2 HIGHWAY & HOOP STREET, CALEDON",028 2123667,WESTERN CAPE,-34.231741,19.425471,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
45284,Caledon Pharmacy,CALEDON,CALEDON,"LILIAN LAING BUILDING, 29 PRINCE ALFRED ROAD, CALEDON",028 2141170,WESTERN CAPE,-34.226306,19.4246,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6047629,Lite-Kem Pharmacy (Camps Bay) Pt,CAMPS BAY,CAMPS BAY,"SHOP 20 & 21 THE PROMENADE, 83 VICTORIA ROAD, CAMPS BAY",021 4382888,WESTERN CAPE,,,unknown,Western Cape Pharmacy Network List,2024-07-15,3,needs_location_review,true
6049389,Welgelegen Apteek,CAPE TOWN,CAPE TOWN,"WELGELEGEN SHOPPING CENTRE, MALMESBURY ROAD, WELGELEGEN",021 5580056,WESTERN CAPE,-33.924376,18.421753,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6060323,Steenberg Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 3 SOMERSET BUILDING, 513 MILITARY ROAD, STEENBERG",021 7017326,WESTERN CAPE,-33.928,18.426741,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6061702,Hyper-Med Pharmacy,CAPE TOWN,CAPE TOWN,"CNR YORK & MAIN ROAD, GREEN POINT",021 4341414,WESTERN CAPE,-33.922447,18.421353,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6066399,Khayelitsha Pharmacy,CAPE TOWN,CAPE TOWN,"STAND 40805 SITE B, 89 SULANI DRIVE, KHAYELITSHA",021 3610159,WESTERN CAPE,-33.926706,18.424576,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6067735,Simonstown Pharmacy,CAPE TOWN,CAPE TOWN,"LONDON HOUSE, 102 ST GEORGES STREET, SIMON'S TOWN",021 7862133,WESTERN CAPE,-33.926988,18.422741,town,Western Cape Pharmacy Network List,2024-07-15,3,verified,true
6069037,Bel-Kem Pharmacy,CAPE TOWN,CAPE TOWN,"CNR AMANDEL ROAD & BARBERTON, LINK, BELHAR",021 9527446,WESTERN CAPE,-33.922588,18.423306,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6069169,Cape Town Station Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 4 ADMIN BUILDING, 16 ADDERLEY STREET, CAPE TOWN",021 4191631,WESTERN CAPE,-33.924212,18.4266,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6069398,Southern Suburbs Pharmacy,CAPE TOWN,CAPE TOWN,"56 BELVEDERE ROAD, CLAREMONT",021 6717100,WESTERN CAPE,-33.924282,18.421588,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6070078,Athlone Pharmacy,CAPE TOWN,CAPE TOWN,"JACOB TRADING CENTRE, 29 OLD KLIPFONTEIN ROAD, ATHLONE",021 6971613,WESTERN CAPE,-33.927906,18.421424,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6070213,Lite Kem Pharmacy,CAPE TOWN,CAPE TOWN,"24 DARLING STREET, CAPE TOWN",021 4618040,WESTERN CAPE,-33.927576,18.423871,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6071899,Kromboom Pharmacy,CAPE TOWN,CAPE TOWN,"KROMBOOM MEDI CENTRE, CNR SUNNYSIDE & KROMBOOM ROAD, CRAWFORD",021 6967880,WESTERN CAPE,-33.925624,18.422318,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6072062,A White Chemist,CAPE TOWN,CAPE TOWN,61 PLEIN STREET,021 4653332,WESTERN CAPE,-33.926376,18.423871,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6072704,Vitacare Pharmacy-Rondebosch,CAPE TOWN,CAPE TOWN,"SHOP 15 RIVERSIDE MALL, CNR MAIN & BELMONT ROAD, RONDEBOSCH",021 6853030,WESTERN CAPE,-33.925129,18.423612,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6072739,Meadowridge Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 15 &16 PARK N SHOP, SHOPPING CENTRE FIRGROVE WAY, MEADOWRIDGE",021 7131472,WESTERN CAPE,-33.9252,18.424694,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6073352,Nu Pharmacy Cavendish Square,CAPE TOWN,CAPE TOWN,"SHOP G66 GROUND FLOOR CAVENDISH, SQUARE SHOPPING C DREYER STREET, CLAREMONT",021 6741044,WESTERN CAPE,-33.923788,18.423424,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6073840,Koeberg Pharmacy,CAPE TOWN,CAPE TOWN,"216 VOORTREKKER ROAD, MAITLAND",021 5116131,WESTERN CAPE,-33.924753,18.422882,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6073883,Warrens Pharmacy,CAPE TOWN,CAPE TOWN,"71 MAIN ROAD, FISH HOEK",021 7821101,WESTERN CAPE,-33.9248,18.424929,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6074758,B M C Pharmacy,CAPE TOWN,CAPE TOWN,"BELHAR MEDICAL CENTRE, 70 BELHAR DRIVE, BELHAR EXT 20",021 9528672,WESTERN CAPE,-33.927859,18.426129,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6074936,H Brand T/A Strand Pharmacy,CAPE TOWN,CAPE TOWN,"90 BEACH ROAD, STRAND",021 8543603,WESTERN CAPE,-33.926565,18.426529,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6002692,Rustenburg Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 9 RONDEBOSCH SHOPPING, CENTRE 51-81 MAIN ROAD, RONDEBOSCH",021 6863997,WESTERN CAPE,-33.927506,18.426553,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6002978,Springbok Pharmacy,CAPE TOWN,CAPE TOWN,"468 IMAM HARON ROAD, LANSDOWNE",021 6961532,WESTERN CAPE,-33.927129,18.423071,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6003060,Sunset Pharmacy,CAPE TOWN,CAPE TOWN,"SEA POINT MEDICAL CENTRE, 11 KLOOF ROAD, SEA POINT",021 4343333,WESTERN CAPE,-33.925129,18.424718,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6003176,Tothills Pharmacy,CAPE TOWN,CAPE TOWN,"BOLAND BANK BUILDING, 18 LOWER BURG STREET, CAPE TOWN",021 4212421,WESTERN CAPE,-33.925741,18.425612,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6029647,Reo Family Pharmacy,CAPE TOWN,CAPE TOWN,"CNR HALT ROAD & EPPING AVENUE, ELSIES RIVER",021 9322955,WESTERN CAPE,-33.924188,18.426765,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6029965,Chemkay Pharmacy,CAPE TOWN,CAPE TOWN,"GARDENS CENTRE, MILL STREET",021 4654945,WESTERN CAPE,-33.927718,18.421659,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6031439,Blooms Chemist,CAPE TOWN,CAPE TOWN,"3 PALMHOF CENTRE, 113 KLOOF STREET, GARDENS",021 4231754,WESTERN CAPE,-33.922494,18.421824,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6032257,Grassy Park Pharmacy,CAPE TOWN,CAPE TOWN,"71 VICTORIA ROAD, GRASSY PARK",021 2068805,WESTERN CAPE,-33.922376,18.425,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6033202,Adelphi Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 8 ARTEM CENTRE, 277 MAIN ROAD, SEA POINT",021 4345888,WESTERN CAPE,-33.922,18.425329,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6033768,Craven Park Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 4 C T C BUILDING, 206 CONNAUGHT ROAD, CRAVENBY",021 5650445,WESTERN CAPE,-33.924329,18.424953,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6034101,Kassbell Pharmacy,CAPE TOWN,CAPE TOWN,"1A KASSELSVLEI ROAD, BELLVILLE SOUTH",021 9517690,WESTERN CAPE,-33.924024,18.425941,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
6041752,Netcare Christiaan Barnard Memor,CAPE TOWN,CAPE TOWN,"CITY PARK MEDICAL CENTRE, 181 LONGMARKET STREET",021 4410114,WESTERN CAPE,-33.924706,18.426765,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
825328,Dis-Chem Foreshore Pharmacy,CAPE TOWN,CAPE TOWN,"SHOP 3 HELIX BUILDING, 12 RUA VASCO DA GAMA PLAIN, CAPE TOWN",021 5410581,WESTERN CAPE,-33.925671,18.424671,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
1049100,Clicks Pharmacy Morena Mall,CAPE TOWN,CAPE TOWN,PO BOX 5142,021 4601911,WESTERN CAPE,-33.925318,18.423871,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
751529,Clicks Pharmacy - Picbel,CAPE TOWN,CAPE TOWN,"LOWER GROUND FLOOR PICBEL, PARKADE 58 STRAND STREET, CAPE TOWN",021 4180567,WESTERN CAPE,-33.9268,18.422224,town,Western Cape Pharmacy Network List,2024-07-15,4,verified,true
437298,Clicks Pharmacy - Adderley Stree,CAPE TOWN,CAPE TOWN,"COLOSSEUM BUILDING, ADDERLEY STREET, CAPE TOWN",021 4185039,WESTERN CAPE,-33.923059,18.425588,town,Western Cape Pharmacy Network List,2024-07-15,5,verified,true
